coordinate_x,coordinate_y,cost,parent_coordinate_x,parent_coordinate_y
20.8185185833,93.9986435486,46.47428790177209,21.8617849736,88.9105451565
20.5910953622,88.5823879952,41.25619872492417,23.3728637869,79.7533566477
20.7132103593,89.4615263221,42.143777606117986,20.5910953622,88.5823879952
17.9296150277,97.3283828343,50.398184466353335,20.5910953622,88.5823879952
16.2349525611,104.6864387834,57.94887107260239,17.9296150277,97.3283828343
19.1597662308,95.6148186227,48.432812384094795,20.5910953622,88.5823879952
17.4699462163,103.6473160873,56.64113177360506,19.1597662308,95.6148186227
19.9636622997,91.2023784782,43.950270434981036,20.5910953622,88.5823879952
19.565113025,94.9344621331,47.69059734558985,20.5910953622,88.5823879952
19.5515741461,91.5202501148,44.372548864510975,20.5910953622,88.5823879952
18.0590523157,96.2217099477,49.30420977631305,20.5910953622,88.5823879952
18.5098874074,94.066174133,47.121634510631004,20.5910953622,88.5823879952
15.9729464765,101.9003493362,55.35633975133691,18.5098874074,94.066174133
21.5660989687,83.4449205304,36.108577692528655,25.3585877807,75.9522151115
21.6626514227,83.1549616569,35.806391474363615,25.3585877807,75.9522151115
36.097696486,55.9473464796,6.047798584922224,35.0,50.0
37.9195842604,65.7722937622,16.040238935926435,36.097696486,55.9473464796
39.4045180919,70.2320868462,20.74074772073129,37.9195842604,65.7722937622
37.842803201,52.5310701593,3.80629034506234,35.0,50.0
45.1450362404,58.8027747739,13.432135042256446,37.842803201,52.5310701593
53.2850883895,64.099937301,23.144003030886637,45.1450362404,58.8027747739
53.0848346529,64.7712468357,23.365062988417368,45.1450362404,58.8027747739
54.9350434972,66.5138244122,25.90668636288624,53.0848346529,64.7712468357
54.215307811,65.7372580057,24.85205563861755,53.0848346529,64.7712468357
59.5121223567,69.9954216547,31.647697217145105,53.0848346529,64.7712468357
61.4213035704,72.7084247852,34.96512979262389,59.5121223567,69.9954216547
63.7304870025,76.0319272501,39.01207092359366,59.5121223567,69.9954216547
61.8169083982,72.8865051947,35.34504798929971,59.5121223567,69.9954216547
68.1893701024,79.9532702471,44.860689663791106,61.8169083982,72.8865051947
68.8453012851,80.3814958808,45.6440305281637,68.1893701024,79.9532702471
66.1705117736,78.136799819,42.165565271166805,61.8169083982,72.8865051947
74.1616065025,83.1781031594,51.613969069490715,66.1705117736,78.136799819
63.9046086903,73.8347409248,37.481590312550956,59.5121223567,69.9954216547
68.2825774176,77.349290421,43.09573925414989,63.9046086903,73.8347409248
72.6885851766,82.5993979277,49.94968214888397,68.2825774176,77.349290421
